,song_name,word_list
0,Witch's Invitation,"[['Things', 'turned', 'right'], ['died', 'survived'], ['Witch', 'reconstruction'], ['Improvement'], ['Extension'], ['Progressive', 'evolution'], [], ['Lovely', 'diversion'], [], ['Thousand', 'pixies', 'fly'], ['Dancing', 'golden', 'sky'], [], ['Rise', 'bed'], ['ones', 'sacrificed'], ['ones', 'never', 'cried'], ['ones', 'died'], ['ones', 'alive'], ['Tonight'], [], [], [], ['Set', 'free'], ['Yesterday', 'already', 'history'], ['Paint', 'future', 'story', 'trees'], ['I', 'able', 'walk', 'misery'], ['Plastic', 'eyes', 'let', 'see'], ['day', 'finally', 'meet'], ['Logic', 'theory', 'philosophy'], ['humanity'], [], ['Listen', 'chanting', 'rain'], ['Embrace', 'petrified', 'river', 'pain'], ['Take', 'walk', 'around', 'edge', 'ocean', 'vein'], ['Soak', 'warmth', 'domain'], [], ['world', 'seen', 'dream', 'continues', 'around', 'round', 'round'], ['A', 'flake', 'peeled', 'hugging', 'arm'], [], ['Pop', 'plop', 'flop', 'toss'], ['Hop', 'drop', 'slop', 'waltz'], [], [], [], [], ['Purple-black', 'tea'], ['Spilled', 'memories'], ['Poison', 'cookies'], ['Witch', 'enemy'], ['Humbly', 'gradually', 'frivolously', 'thoughtlessly'], [], ['Butter', 'pancakes', 'coated', 'candied', 'blueberries'], ['Mango', 'yogurt', 'sprinkled', 'marshmallow', 'jelly'], [], ['Not', 'death', 'us', 'part'], ['Forbidden', 'plastic', 'heart', 'supported', 'far'], ['Not', 'death', 'us', 'part'], ['Followed', 'another', 'restart'], ['Restart'], ['Restart']]"
1,Sacramentum:Unaccompanied Hymn for Torino,"[[], [], ['ego'], ['tea'], [], ['tes'], ['ego'], [], ['ego'], [], [], ['ego'], ['tea'], [], [], ['La'], [], ['le'], ['He', 'ego'], ['le'], ['He', 'ego'], [], [], [], [], [], [], ['ley'], [], ['ley'], ['fortuna'], [], [], ['recce', 'ves'], [], [], ['Ves'], [], ['ley'], [], ['ley'], ['fortuna'], [], [], [], [], [], [], [], ['le'], ['He', 'ego'], ['le'], ['He', 'ego'], [], [], [], []]"
2,Nine Point Eight,"[['Silently', 'chase', 'away', 'worries'], ['Chrysanthemum'], ['Become', 'shield', 'fall', 'asleep'], [], ['I', 'cried'], ['Please', 'leave', 'behind', 'leave', 'behind'], ['So', 'held', 'tight'], ['said', 'I', 'fine', 'I', 'fine', 'I', 'fine'], [], ['Petals', 'dance', 'valediction'], ['synchronize', 'frozen', 'pulsation'], ['Take', 'soul', 'may', 'live', 'peace'], ['Final', 'destination'], ['Touch', 'skin', 'sympathetically', 'brushed'], ['shoulders', 'used', 'embrace'], ['Sparkling', 'ashes', 'drift', 'along', 'flames'], ['softly', 'merge', 'sky'], [], [], ['Aroma', 'drags', 'I'], ['Cream', 'rose', 'stargazer', 'iris'], ['Construct', 'map', 'helps', 'trace', 'steps'], [], ['Zipped', 'mouth'], ['I', 'keep', 'climbing', 'keep', 'climbing'], ['Justify', 'vows'], ['I', 'know', 'right', 'right', 'right'], [], ['Look'], ['I', 'top', 'world', 'top', 'world'], ['darling'], ['Here', 'I', 'come', 'I', 'yell'], ['take', 'leap', 'Hell'], [], ['Swirling', 'wind', 'sings', 'reunion'], ['nine', 'point', 'eight', 'acceleration'], ['Take', 'souls', 'may', 'live', 'peace'], ['brand', 'new', 'commencement'], ['Touch', 'lips', 'compassionately', 'pressed'], ['skull', 'used', 'cherish'], ['Delicate', 'flesh', 'decomposes', 'rotten', 'bones'], ['softly', 'merge', 'sky']]"
3,星見る頃を過ぎても,"[['Oh', 'baby', 'goodbye', 'goodbye'], ['No', 'matter', 'many', 'words', 'define'], [], ['Goodbye', 'goodbye'], ['Oh', 'darling'], ['No', 'matter', 'many', 'times', 'right'], [], ['Empty', 'sky'], ['I', 'alone', 'one', 'nearby'], ['But', 'memories', 'ignite', 'passion', 'keeps', 'us', 'alive'], ['Invite', 'us', 'beautiful', 'star', 'sight'], ['hearts', 'unite'], [], ['It', 'consideration'], ['patience', 'dedication'], ['Devotion', 'action', 'forbearance', 'keep', 'flying', 'high'], ['Compassion', 'reinforcement'], ['Encouragement', 'conviction'], ['star', 'eyes'], ['Acceptance', 'recognition'], ['Assurance', 'absolution'], ['Even', 'existence', 'takes', 'burden', 'mind'], ['Allow', 'fight', 'side'], [], ['I', 'love'], ['Oh', 'baby', 'emotions', 'flow'], ['No', 'matter', 'many', 'failures', 'much', 'sorrow'], [], ['I', 'love'], ['Oh', 'darling', 'I', 'love'], ['No', 'matter', 'many', 'times', 'I', 'follow'], [], ['Pretty', 'sky'], ['I', 'stargazing', 'nearby'], ['memories', 'ignite', 'passion', 'keeps', 'us', 'alive'], ['Invite', 'us', 'beautiful', 'star', 'sight'], ['souls', 'unite'], [], ['walked', 'every', 'season'], ['winter', 'snow', 'summer', 'wind'], ['Memories', 'happened', 'leave', 'little', 'butterflies'], ['eyes', 'went', 'close', 'open'], ['captured', 'every', 'moment'], ['smiles', 'always', 'bright'], ['I', 'glad', 'fortune'], ['Do', 'make', 'illusion'], ['There', 'still', 'many', 'versions', 'night', 'sky', 'liked'], ['I', 'want', 'stay', 'side'], [], ['On', 'cloudy', 'night'], ['Just', 'I'], ['close'], ['Yet', 'far', 'life'], ['way', 'smiled'], ['way', 'cried'], ['Oh', 'baby', 'thing'], ['Forever', 'saying'], ['There', 'nothing', 'I', 'decide']]"
4,A Turtle's Heart,"[['I', 'stay', 'inside', 'letting', 'time', 'pass', 'away'], ['Tuesday', 'quite'], ['So', 'I', 'daydream', 'moments', 'shame'], [], ['Life', 'goes', 'around', 'round'], ['I', 'stumbled', 'stopped', 'moving'], ['Turn', 'around', 'I', 'realized'], ['I', 'left', 'behind'], [], ['In', 'tiny', 'tiny', 'tiny', 'tiny', 'cubicle'], ['There', 'lives', 'whiny', 'whiny', 'whiny', 'cowardly', 'turtle'], ['In', 'twenty', 'thirty', 'forty', 'fifty', 'sixty', 'years'], ['heart', 'die', 'matter', 'hard', 'I', 'try'], [], ['Today', 'lonely', 'day'], ['I', 'pretend', 'I', 'really', 'liked', 'way'], ['Tomorrow', 'stay'], ['I', 'ca', 'even', 'remember', 'name'], [], ['around'], ['No'], ['Though', 'love', 'mine'], ['It', 'stop'], [], ['Nobody', 'body', 'body', 'body', 'support'], ['heavy', 'heavy', 'heavy', 'empty', 'shell'], ['But', 'I', 'lazy', 'lazy', 'lazy', 'lazy', 'anymore'], ['Oh', 'darling', 'ca', 'see'], ['I', 'grown', 'much'], [], ['Maybe', 'maybe', 'maybe', 'forgiven'], ['Oh', 'darling', 'darling', 'darling', 'make', 'sure'], ['stab', 'pierce', 'hurt', 'kill', 'thoroughly'], ['see', 'heart', 'die', 'I', 'really', 'tried']]"
5,Nine Point Eight,"[['Silently', 'chase', 'away', 'worries'], ['Chrysanthemum'], ['Become', 'shield', 'fall', 'asleep'], [], ['I', 'cried'], ['Please', 'leave', 'behind', 'leave', 'behind'], ['So', 'held', 'tight'], ['said', 'I', 'fine', 'I', 'fine', 'I', 'fine'], [], ['Petals', 'dance', 'valediction'], ['synchronize', 'frozen', 'pulsation'], ['Take', 'soul', 'may', 'live', 'peace'], ['Final', 'destination'], ['Touch', 'skin', 'sympathetically', 'brushed'], ['shoulders', 'used', 'embrace'], ['Sparkling', 'ashes', 'drift', 'along', 'flames'], ['softly', 'merge', 'sky'], [], [], ['Aroma', 'drags', 'I'], ['Cream', 'rose', 'stargazer', 'iris'], ['Construct', 'map', 'helps', 'trace', 'steps'], [], ['Zipped', 'mouth'], ['I', 'keep', 'climbing', 'keep', 'climbing'], ['Justify', 'vows'], ['I', 'know', 'right', 'right', 'right'], [], ['Look'], ['I', 'top', 'world', 'top', 'world'], ['darling'], ['Here', 'I', 'come', 'I', 'yell'], ['take', 'leap', 'Hell'], [], ['Swirling', 'wind', 'sings', 'reunion'], ['nine', 'point', 'eight', 'acceleration'], ['Take', 'souls', 'may', 'live', 'peace'], ['brand', 'new', 'commencement'], ['Touch', 'lips', 'compassionately', 'pressed'], ['skull', 'used', 'cherish'], ['Delicate', 'flesh', 'decomposes', 'rotten', 'bones'], ['softly', 'merge', 'sky']]"
6,Utopiosphere,"[['Sink', 'world'], ['Black', 'lace'], ['hurries', 'away'], ['Tiny', 'legs'], ['Leaves', 'behind', 'track', 'cardioid'], ['Twisted', 'creation'], ['Phosphorescent', 'apparition'], ['Heart', 'disorientation'], ['Bemusement'], ['Merry', 'go', 'around'], ['Misery', 'go', 'around'], ['Quandary', 'go', 'around'], ['Merry', 'go', 'around'], [], ['Time', 'stop'], ['Prepare', 'doubts'], ['Eat'], ['Quaff'], ['pus', 'thoughts'], ['Red', 'sand', 'flows'], ['Sweet', 'mouth'], ['sky', 'painted'], ['Florets', 'slashed', 'open', 'vein', 'tears'], [], ['There', 'escape', 'dear'], ['world', 'undergoes'], ['Transform', 'endless', 'anger'], ['Connect', 'nerves'], ['system']]"
7,Friction,[]
8,Chocological,"[['I', 'dream', 'I', 'living', 'castle'], ['Made', 'chocolate', 'cake'], ['sweet', 'sweet', 'dream'], ['walls', 'marble', 'chocolate', 'bars'], ['roof', 'milk', 'chocolate', 'cigars'], ['pool', 'caramel', 'chocolate', 'blizzard'], ['Sprinkled', 'sugar', 'powder'], ['Let', 'make', 'come', 'true'], ['Delicious', 'imagination', 'wasted'], ['Doom'], ['Sing', 'magical', 'song', 'stirring', 'whipping', 'cream'], ['Tempering', 'tempering'], ['Vanilla', 'extract', 'certainly', 'adds', 'aroma'], ['Grated', 'heart'], ['enchanted', 'formula', 'castle', 'soon', 'complete'], ['garden', 'chocolate', 'gelatin'], ['trees', 'chocolate', 'apples', 'sticks'], ['flowers', 'syrup'], ['Pumped', 'minty', 'chocolate', 'eggs'], ['couch', 'dark', 'chocolate'], ['bed', 'comfy', 'chocolate', 'sponge', 'cake'], ['Ding-dong'], ['Looks', 'like', 'someone', 'door'], ['Hello'], ['like', 'join'], ['Jump', 'slide'], ['Banana', 'split', 'extra', 'bitter', 'chocolate', 'lava'], ['Bounce', 'playground'], ['Exotic', 'juice', 'dipped', 'condensed', 'chocolate', 'stream'], ['Let', 'make', 'secret', 'bass'], ['I', 'forget', 'sorrows'], ['Take', 'heart'], ['new', 'home'], ['live', 'happily', 'ever'], ['Crunch', 'crumble', 'crackle'], ['castle', 'breaking', 'apart'], ['Trembling', 'trembling'], ['slowly', 'eating'], ['Nibbling', 'nibbling'], ['hesitation'], ['ate'], ['hopes', 'dreams', 'castle', 'imagination'], ['ate'], ['tears', 'sweat', 'blood', 'hard', 'work', 'time', 'faith', 'trust'], ['ate', 'chocolate', 'castle'], ['done', 'left', 'search', 'new', 'delicacy'], ['shred', 'heart'], ['However', 'I', 'angry', 'I'], [], []]"
9,YUBIKIRI-GENMAN,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]"
